hero_id,InitialStrength,Strengthgain,InitialIntelligence,Intelligencegain,InitialAgility,Agilitygain,avg_hero_damage,avg_tower_damage,avg_hero_healing,avg_assists,avg_deaths,avg_GMP,avg_last_hits,avg_gold_difference,avg_duration,avg_win_rate_percent
1,23,1.3,12,1.8,22,2.8,20616.48299,4395.117911,23.94355051,7.674228436,6.519388024,567.4455289,335.1746241,567.4455289,2531.971248,0.5
2,25,2.8,18,1.6,20,2.2,26996.46289,1031.424127,15.63410395,13.29880063,9.730227707,431.2951504,164.1858161,431.2951504,2594.947679,0.54
3,23,2.4,23,2.4,23,2.4,11184.06459,439.272203,163.5086505,13.58708189,9.730103806,274.8731257,41.17647059,274.8731257,2550.645905,0.42
4,24,2.7,18,1.7,24,3,27591.8609,3074.044076,311.4587678,11.78199052,9.498578199,505.6798578,224.0530806,505.6798578,2580.979858,0.51
5,18,2.2,14,2.9,16,1.6,14772.5717,459.3985687,140.0145885,16.36829067,10.69364162,336.8607212,63.53151665,336.8607212,2543.647949,0.52
6,17,1.9,15,1.4,23,2.2,18406.27924,4658.259032,17.52327006,11.59583588,8.887323944,459.6387018,210.4476424,459.6387018,2533.501837,0.5
7,22,3.2,16,1.8,12,1.4,19577.42936,711.4096552,80.93576355,15.42423645,9.319014778,356.9737931,104.3190148,356.9737931,2622.167291,0.49
8,21,2.2,14,1.4,36,2.4,23849.34168,3645.123776,5478.504625,10.28318825,7.698041349,516.0775299,261.4129489,516.0775299,2520.952666,0.5
9,18,2.2,17,1.7,18,3.2,19901.32813,2001.709573,66.47275405,17.29189985,7.6910162,410.7251841,159.2377025,410.7251841,2638.065979,0.52
10,20,2.3,13,1.1,24,3.7,25146.79802,4923.958416,60.69950495,8.97029703,7.027227723,518.5262376,233.4767327,518.5262376,2481.087129,0.51
11,16,2.3,18,2,20,2.9,26860.46654,3460.282156,26.80855019,10.18847584,8.647583643,520.2230483,269.333829,520.2230483,2593.998141,0.45
12,19,2,19,2,29,2.6,21729.51656,2940.29599,38.86660854,10.74934612,8.047079337,475.4956408,232.3892764,475.4956408,2582.821709,0.47
13,17,2.2,23,2.4,22,1.7,20707.26486,986.4378378,58.12162162,12.94054054,9.389189189,431.1864865,161.3324324,431.1864865,2598.856757,0.38
14,25,3.5,14,1.5,14,1.5,20694.9589,537.600639,278.7881012,16.21466195,10.20283223,367.5742164,69.64821691,367.5742164,2568.390035,0.53
15,22,2.6,21,1.8,22,1.8,23459.70959,2006.369863,20.22465753,12.30684932,10.18082192,421.2383562,177.3945205,421.2383562,2593.769863,0.43
16,22,2.9,16,1.8,19,2.1,17139.05153,385.2552147,98.95337423,16.07607362,9.703067485,354.9693252,124.7153374,354.9693252,2619.274847,0.41
17,21,2,22,3,22,1.5,29780.26534,1318.652422,30.08322981,12.74285714,8.041987578,494.3900621,219.0718012,494.3900621,2606.040497,0.5
18,23,3,16,1.3,21,2,27805.11375,3100.923475,14.97569804,10.91830403,8.442605998,498.0687694,255.8371251,498.0687694,2623.885212,0.49
19,30,3.6,17,1.6,0,0,23530.14058,2128.63074,50.53420806,11.66260544,8.304592315,407.7169634,153.185567,407.7169634,2573.766635,0.41
20,19,2.9,13,1.5,27,3.3,17327.25341,1223.745504,315.1269755,17.33896458,10.14223433,335.3934605,83.09482289,335.3934605,2569.551499,0.53
21,17,3,18,2.6,17,1.4,23531.54093,2356.387821,40.06015779,12.84787968,8.269970414,421.5636095,156.5949211,421.5636095,2613.957594,0.46
22,21,2.1,20,2.7,11,1.2,41933.72348,445.7125358,76.10737555,19.84988272,8.297628355,413.8837634,146.7034141,413.8837634,2654.92859,0.54
